scientific_name,name_correction,generic_species
Myiarchus sp.,Myiarchus cinerascens,1
Myiarchus tuberculifer,,
Myiarchus tyrannulus,,
Myioborus pictus,,
Myiopsitta monachus,,
Netta peposaca,,
Netta rufina,,
Nomonyx dominicus,,
Nucifraga columbiana,,
Numenius americanus,,
Numenius madagascariensis,,
Numenius phaeopus,,
Numenius phaeopus hudsonicus,,
Numenius sp.,Numenius americanus,1
Numenius tahitiensis,,
Numida meleagris,,
Numida meleagris (Domestic type),Numida meleagris,
Nyctanassa violacea,,
Nyctanassa violacea [violacea Group],Nyctanassa violacea,
Nycticorax nycticorax,,
Nycticorax nycticorax hoactli,,
Nycticorax nycticorax/Nyctanassa violacea,Nycticorax nycticorax,
Nyctidromus albicollis,,
Nymphicus hollandicus,,
Oceanites oceanicus,,
Oceanodroma furcata,,
Oceanodroma leucorhoa,,
Oceanodroma melania,,
Oceanodroma tristrami,,
Odontophoridae sp.,Odontophoridae,1
Onychoprion fuscatus,,
Onychoprion lunatus,,
Oporornis/Geothlypis sp. (Mourning-type),Geothlypis trichas,1
Oreomystis bairdi,,
Oreortyx pictus,,
Oreoscoptes montanus,,
Oreothlypis celata,,
Oreothlypis celata celata,,
Oreothlypis celata celata/orestera,,
Oreothlypis celata lutescens,,
Oreothlypis luciae,,
Oreothlypis peregrina,,
Oreothlypis ruficapilla,,
Oreothlypis ruficapilla ruficapilla,,
Oreothlypis virginiae,,
Oressochen jubatus,,
Ortalis vetula,,
Oxyura jamaicensis,,
Oxyura jamaicensis jamaicensis/andina,Oxyura jamaicensis,
Pachyramphus aglaiae,,
Pagophila eburnea,,
Palmeria dolei,,
Pandion haliaetus,,
Pandion haliaetus carolinensis,,
Pandion haliaetus haliaetus,,
Parabuteo unicinctus,,
Pardirallus maculatus,,
Paridae sp.,Poecile atricapillus,1
Parkesia motacilla,,
Parkesia motacilla/noveboracensis,,
Parkesia noveboracensis,,
Paroaria capitata,,
Paroaria coronata,,
Paroreomyza montana,,
Parulidae sp.,.,1
Parus major,,
Passer domesticus,,
Passer domesticus x montanus,Passer domesticus,
Passer montanus,,
Passerculus sandwichensis,,
Passerculus sandwichensis [guttatus Group],Passerculus sandwichensis,
Passerculus sandwichensis [sandwichensis Group],Passerculus sandwichensis,
Passerculus sandwichensis princeps,,
Passerculus sandwichensis rostratus/atratus,Passerculus sandwichensis,
Passerella iliaca,,
Passerella iliaca [megarhyncha Group],Passerella iliaca,
Passerella iliaca [schistacea Group],Passerella iliaca,
Passerella iliaca [unalaschcensis Group],Passerella iliaca,
Passerella iliaca iliaca/zaboria,Passerella iliaca,
Passeriformes sp.,Passer domesticus,1
Passerina amoena,,
Passerina amoena/cyanea,Passerina amoena,
Passerina caerulea,,
Passerina ciris,,
Passerina cyanea,,
Passerina sp.,Passerina ciris,1
Passerina versicolor,,
Patagioenas fasciata,,
Patagioenas fasciata [fasciata Group],Patagioenas fasciata,
Patagioenas flavirostris,,
Patagioenas leucocephala,,
Patagioenas squamosa,,
Pavo cristatus,,
Pavo cristatus (Domestic type),Pavo cristatus,
Pelecanus erythrorhynchos,,
Pelecanus occidentalis,,
Pelecanus occidentalis californicus,,
Pelecanus occidentalis carolinensis,,
Perdix perdix,,
Perisoreus canadensis,,
Perisoreus canadensis [canadensis Group],Perisoreus canadensis,
Perisoreus canadensis [obscurus Group],Perisoreus canadensis,
Perisoreus canadensis capitalis/albescens,Perisoreus canadensis,
Petrochelidon fulva,,
Petrochelidon fulva pallida,,
Petrochelidon pyrrhonota,,
Petrochelidon pyrrhonota/fulva,Petrochelidon pyrrhonota,
Peucaea aestivalis,,
Peucaea botterii,,
Peucaea carpalis,,
Peucaea cassinii,,
Peucedramus taeniatus,,
Phaethon lepturus,,
Phaethon rubricauda,,
Phaethon sp.,Phaethon lepturus,1
Phainopepla nitens,,
Phalacrocorax auritus,,
Phalacrocorax auritus auritus/floridanus,Phalacrocorax auritus,
Phalacrocorax brasilianus,,
Phalacrocorax brasilianus/auritus,Phalacrocorax brasilianus,
Phalacrocorax carbo,,
Phalacrocorax pelagicus,,
Phalacrocorax penicillatus,,
Phalacrocorax sp.,Phalacrocorax auritus,1
Phalacrocorax urile,,
Phalaenoptilus nuttallii,,
Phalaropus fulicarius,,
Phalaropus lobatus,,
Phalaropus lobatus/fulicarius,Phalaropus lobatus,
Phalaropus sp.,Phalaropus fulicarius,1
Phalaropus tricolor,,
Phasianinae sp.,Phasianus colchicus,1
Phasianus colchicus,,
Phasianus colchicus [colchicus Group],Phasianus colchicus,
Pheucticus ludovicianus,,
Pheucticus ludovicianus/melanocephalus,Pheucticus ludovicianus,
Pheucticus melanocephalus,,
Pheucticus sp.,Pheucticus ludovicianus,1
Phoebastria albatrus,,
Phoebastria immutabilis,,
Phoebastria immutabilis x nigripes,Phoebastria immutabilis,
Phoebastria nigripes,,
Phoenicopterus roseus,,
Phoenicopterus ruber,,
Phoenicopterus ruber/roseus,Phoenicopterus ruber,
Pica hudsonia,,
Pica nuttalli,,
Picidae sp.,Pica hudsonia,1
Picoides albolarvatus,,
Picoides arcticus,,
Picoides arizonae,,
Picoides borealis,,
Picoides dorsalis,,
Picoides dorsalis dorsalis,,
Picoides dorsalis fasciatus,,
Picoides dorsalis/arcticus,Picoides dorsalis,
Picoides nuttallii,,
Picoides nuttallii x pubescens,Picoides nuttallii,
Picoides pubescens,,
Picoides pubescens gairdnerii/turati,Picoides pubescens,
Picoides pubescens pubescens/medianus,Picoides pubescens,
Picoides pubescens/villosus,Picoides pubescens,
Picoides scalaris,,
Picoides scalaris x nuttallii,Picoides scalaris,
Picoides sp.,Picoides pubescens,1
Picoides stricklandi,,
Picoides villosus,,
Picoides villosus [harrisi Group],Picoides villosus,
Pinicola enucleator,,
Pionus maximiliani,,
Pipilo chlorurus,,
Pipilo chlorurus x maculatus,Pipilo chlorurus,
Pipilo erythrophthalmus,,
Pipilo erythrophthalmus erythrophthalmus/canaster,Pipilo erythrophthalmus,
Pipilo maculatus,,
Pipilo maculatus [maculatus Group],Pipilo maculatus,
Pipilo maculatus [oregonus Group],Pipilo maculatus,
Pipilo maculatus x erythrophthalmus,Pipilo maculatus,
Pipilo maculatus/erythrophthalmus,Pipilo maculatus,
Piranga flava,,
Piranga ludoviciana,,
Piranga olivacea,,
Piranga rubra,,
Piranga sp.,Piranga rubra,1
Pitangus sulphuratus,,
Platalea ajaja,,
Plectrophenax hyperboreus,,
Plectrophenax nivalis,,
Plectrophenax nivalis/hyperboreus,Plectrophenax nivalis,
Plegadis chihi,,
Plegadis falcinellus,,
Plegadis falcinellus x chihi,Plegadis falcinellus,
Plegadis falcinellus/chihi,Plegadis falcinellus,
Pluvialis apricaria/dominica/fulva,Pluvialis apricaria,
Pluvialis dominica,,
Pluvialis dominica/fulva,Pluvialis dominica,
Pluvialis fulva,,
Pluvialis sp.,Pluvialis squatarola,1
Pluvialis squatarola,,
Podiceps auritus,,
Podiceps auritus/nigricollis,Podiceps auritus,
Podiceps grisegena,,
Podiceps nigricollis,,
Podicipedidae sp.,Podiceps auritus,1
Podilymbus podiceps,,
Poecile atricapillus,,
Poecile atricapillus x gambeli,Poecile atricapillus,
Poecile carolinensis,,
Poecile carolinensis/atricapillus,Poecile carolinensis,
Poecile gambeli,,
Poecile gambeli [gambeli Group],Poecile gambeli,
Poecile hudsonicus,,
Poecile rufescens,,
Poecile sclateri,,
Poecile sp.,Poecile atricapillus,1
Polioptila caerulea,,
Polioptila caerulea [obscura Group],Polioptila caerulea,
Polioptila caerulea caerulea,,
Polioptila californica,,
Polioptila melanura,,
Polioptila nigriceps,,
Polioptila sp.,Polioptila caerulea,1
Polysticta stelleri,,
Pooecetes gramineus,,
Porphyrio martinicus,,
Porphyrio poliocephalus,,
Porphyrio porphyrio,,
Porzana carolina,,
Procellariidae sp.,Procellariidae,1
Procellariidae sp. (shearwater sp.),Procellariidae,1
Procelsterna cerulea,,
Progne subis,,
Protonotaria citrea,,
Prunella montanella,,
Psaltriparus minimus,,
Psaltriparus minimus [melanotis Group],Psaltriparus minimus,
Psaltriparus minimus [minimus Group],Psaltriparus minimus,
Psaltriparus minimus [plumbeus Group],Psaltriparus minimus,
Pseudonestor xanthophrys,,
Psilorhinus morio,,
Psiloscops flammeolus,,
Psittacara erythrogenys,,
Psittacara finschi,,
Psittacara holochlorus,,
Psittacara leucophthalmus,,
Psittacara mitratus,,
Psittacara mitratus/erythrogenys,Psittacara mitratus,
Psittacara sp.,Psittacara mitratus,1
Psittacara wagleri,,
Psittaciformes sp. (parakeet sp.),Psittacara mitratus,1
Psittaciformes sp. (parrot sp.),Psittacara mitratus,1
Psittacula krameri,,
Pternistis erckelii,,
Pternistis/Francolinus/Peliperdix/Scleroptila sp.,Pternistis erckelii,1
Pterodroma hypoleuca,,
Pterodroma sandwichensis,,
Ptychoramphus aleuticus,,
Ptychoramphus/Aethia sp.,Ptychoramphus aleuticus,1
Puffinus opisthomelas,,
Puffinus puffinus,,
Puffinus sp. (black-and-white shearwater sp.),Puffinus opisthomelas,1
Pycnonotus cafer,,
Pycnonotus jocosus,,
Pyrocephalus rubinus,,
Pyrrhula pyrrhula,,
Quiscalus major,,
Quiscalus major torreyi/alabamensis,Quiscalus major,
Quiscalus major westoni,,
Quiscalus major/mexicanus,Quiscalus major,
Quiscalus mexicanus,,
Quiscalus mexicanus [graysoni Group],Quiscalus mexicanus,
Quiscalus quiscula,,
Quiscalus quiscula quiscula/stonei,Quiscalus quiscula,
Quiscalus quiscula versicolor,,
Quiscalus sp.,Quiscalus quiscula,1
Rallidae sp. (rail/crake sp.),Rallus limicola,1
Rallus crepitans,,
Rallus crepitans crepitans/waynei,Rallus crepitans,
Rallus crepitans saturatus/scottii,Rallus crepitans,
Rallus elegans,,
Rallus elegans elegans,,
Rallus elegans/crepitans,Rallus elegans,
Rallus limicola,,
Rallus limicola limicola/friedmanni,Rallus limicola,
Rallus obsoletus,,
Rallus obsoletus levipes,,
Rallus obsoletus obsoletus,,
Rallus obsoletus yumanensis,,
Rallus obsoletus/longirostris/crepitans,Rallus obsoletus,
Rallus sp.,Rallus limicola,1
Rallus sp. (large Rallus sp.),Rallus limicola,1
Recurvirostra americana,,
Regulus calendula,,
Regulus satrapa,,
Regulus sp.,Regulus satrapa,1
Rhodostethia rosea,,
Rhodothraupis celaeno,,
Rhynchophanes mccownii,,
Riparia riparia,,
Rissa tridactyla,,
Rissa tridactyla pollicaris,,
Rostrhamus sociabilis,,
Rynchops niger,,
Salpinctes obsoletus,,
Sayornis nigricans,,
Sayornis nigricans [nigricans Group],Sayornis nigricans,
Sayornis phoebe,,
Sayornis saya,,
Sayornis sp.,Sayornis phoebe,1
Scolopacidae sp.,Scolopax minor,1
Scolopacidae sp. (large shorebird sp.),Scolopax minor,1
Scolopax minor,,
Seiurus aurocapilla,,
Selasphorus calliope,,
Selasphorus platycercus,,
Selasphorus rufus,,
Selasphorus rufus/sasin,Selasphorus rufus,
Selasphorus sasin,,
Selasphorus sp.,,1
Serinus canaria,,
Serinus mozambicus,,
Setophaga americana,,
Setophaga americana x pitiayumi,Setophaga americana,
Setophaga caerulescens,,
Setophaga castanea,,
Setophaga castanea/striata,Setophaga castanea,
Setophaga chrysoparia,,
Setophaga citrina,,
Setophaga coronata,,
Setophaga coronata auduboni,,
Setophaga coronata coronata,,
Setophaga coronata coronata x auduboni,Setophaga coronata coronata,
Setophaga discolor,,
Setophaga dominica,,
Setophaga fusca,,
Setophaga graciae,,
Setophaga magnolia,,
Setophaga nigrescens,,
Setophaga occidentalis,,
Setophaga palmarum,,
Setophaga palmarum hypochrysea,,
Setophaga palmarum palmarum,,
Setophaga pensylvanica,,
Setophaga petechia,,
Setophaga petechia [aestiva Group],Setophaga petechia,
Setophaga petechia [erithachorides Group],Setophaga petechia,
Setophaga pinus,,
Setophaga pitiayumi,,
Setophaga ruticilla,,
Setophaga striata,,
Setophaga tigrina,,
Setophaga townsendi,,
Setophaga townsendi x occidentalis,Setophaga townsendi,
Setophaga virens,,
Sialia currucoides,,
Sialia mexicana,,
Sialia sialis,,
Sialia sialis [sialis Group],Sialia sialis,
Sialia sp.,Sialia sialis,1
Sicalis flaveola,,
Sitta canadensis,,
Sitta carolinensis,,
Sitta carolinensis [mexicana Group],Sitta carolinensis,
Sitta carolinensis aculeata/alexandrae,Sitta carolinensis,
Sitta carolinensis carolinensis,,
Sitta pusilla,,
Sitta pygmaea,,
Sitta sp.,Sitta carolinensis,1
Somateria fischeri,,
Somateria mollissima,,
Somateria mollissima borealis,,
Somateria mollissima dresseri,,
Somateria sp.,Somateria mollissima,1
Somateria spectabilis,,
Spermestes cucullata,,
Sphyrapicus nuchalis,,
Sphyrapicus nuchalis x ruber,Sphyrapicus nuchalis,
Sphyrapicus ruber,,
Sphyrapicus sp.,Sphyrapicus varius,1
Sphyrapicus thyroideus,,
Sphyrapicus varius,,
Sphyrapicus varius x nuchalis,Sphyrapicus varius,
Sphyrapicus varius x ruber,Sphyrapicus varius,
Sphyrapicus varius/nuchalis,Sphyrapicus varius,
Spindalis zena,,
Spinus lawrencei,,
Spinus pinus,,
Spinus pinus (green morph),Spinus pinus,
Spinus psaltria,,
Spinus sp. (goldfinch sp.),Spinus tristis,1
Spinus spinus,,
Spinus tristis,,
Spiza americana,,
Spizella atrogularis,,
Spizella breweri,,
Spizella breweri breweri,,
Spizella pallida,,
Spizella passerina,,
Spizella pusilla,,
Spizella sp.,Spizella pusilla,1
Spizella/Spizelloides sp.,,1
Spizelloides arborea,,
Sporophila torqueola,,
Stelgidopteryx serripennis,,
Stercorarius parasiticus,,
Stercorarius pomarinus,,
Stercorarius pomarinus/parasiticus,Stercorarius pomarinus,
Stercorarius skua,,
Stercorarius sp. (jaeger sp.),Spizelloides arborea,1
Sterna dougallii,,
Sterna forsteri,,
Sterna hirundo,,
Sterna paradisaea,,
Sterna sp.,Sterna forsteri,1
Sterninae sp.,Sterna forsteri,1
Sternula antillarum,,
Streptopelia capicola,,
Streptopelia chinensis,,
Streptopelia decaocto,,
Streptopelia decaocto x Zenaida macroura,Streptopelia decaocto,
Streptopelia decaocto x roseogrisea,Streptopelia decaocto,
Streptopelia roseogrisea,,
Streptopelia roseogrisea (Domestic type),Streptopelia roseogrisea,
Streptopelia sp.,Streptopelia decaocto,1
Strigiformes sp.,Streptopelia decaocto,1
Strix nebulosa,,
Strix nebulosa nebulosa,,
Strix occidentalis,,
Strix occidentalis lucida,,
Strix occidentalis occidentalis,,
Strix varia,,
Strix varia [varia Group],Strix varia,
Sturnella magna,,
Sturnella magna [lilianae Group],Sturnella magna,
Sturnella magna [magna Group],Sturnella magna,
Sturnella neglecta,,
Sturnella neglecta/magna,Sturnella neglecta,
Sturnus vulgaris,,
Sula dactylatra,,
Sula granti,,
Sula leucogaster,,
Sula leucogaster brewsteri,,
Sula nebouxii,,
Sula sp.,Sula leucogaster,1
Sula sula,,
Sula sula websteri,,
Sulidae sp.,Sula leucogaster,1
Surnia ulula,,
Surnia ulula caparoch,,
Synthliboramphus antiquus,,
Synthliboramphus craveri,,
Synthliboramphus scrippsi,,
Synthliboramphus scrippsi/hypoleucus,Synthliboramphus scrippsi,
Tachybaptus dominicus,,
Tachycineta bicolor,,
Tachycineta bicolor/thalassina,Tachycineta bicolor,
Tachycineta thalassina,,
Tadorna ferruginea,,
Tadorna tadorna,,
Telespiza cantans,,
Tetraoninae sp.,Tetraoninae,1
Thalasseus elegans,,
Thalasseus maximus,,
Thalasseus sandvicensis,,
Thectocercus acuticaudatus,,
Thectocercus acuticaudatus [acuticaudatus Group],Thectocercus acuticaudatus,
Thraupidae sp. (tanager sp.),Thraupidae,1
Threskiornis aethiopicus,,
Threskiornithidae sp. (ibis sp.),Threskiornis aethiopicus,1
Thryomanes bewickii,,
Thryomanes bewickii [spilurus Group],Thryomanes bewickii,
Thryophilus sinaloa,,
Thryothorus ludovicianus,,
Tiaris bicolor,,
Tiaris olivaceus,,
Toxostoma bendirei,,
Toxostoma crissale,,
Toxostoma curvirostre,,
Toxostoma lecontei,,
Toxostoma longirostre,,
Toxostoma redivivum,,
Toxostoma rufum,,
Toxostoma sp.,Toxostoma rufum,1
Tringa brevipes,,
Tringa brevipes/incana,Tringa brevipes,
Tringa erythropus,,
Tringa flavipes,,
Tringa incana,,
Tringa melanoleuca,,
Tringa melanoleuca/flavipes,Tringa melanoleuca,
Tringa semipalmata,,
Tringa semipalmata inornata,,
Tringa semipalmata semipalmata,,
Tringa solitaria,,
Tringa sp.,Tringa melanoleuca,1
Tringa stagnatilis,,
Trochilidae sp.,Archilochus colubris,1
Troglodytes aedon,,
Troglodytes aedon [aedon Group],Troglodytes aedon,
Troglodytes aedon [brunneicollis Group],Troglodytes aedon,
Troglodytes hiemalis,,
Troglodytes pacificus,,
Troglodytes pacificus/hiemalis,Troglodytes pacificus,
Troglodytidae sp.,Troglodytes aedon,1
Trogon elegans,,
Turdidae sp.,Turdus migratorius,1
Turdus assimilis,,
Turdus eunomus,,
Turdus grayi,,
Turdus iliacus,,
Turdus migratorius,,
Turdus migratorius [migratorius Group],Turdus migratorius,
Turdus migratorius/Ixoreus naevius,Turdus migratorius,
Turdus naumanni/eunomus,Turdus naumanni,
Turdus pilaris,,
Turdus rufopalliatus,,
Turdus rufopalliatus rufopalliatus,,
Tympanuchus cupido,,
Tympanuchus cupido attwateri,,
Tympanuchus pallidicinctus,,
Tympanuchus phasianellus,,
Tyrannidae sp.,Tyrannus couchii,1
Tyrannus couchii,,
Tyrannus crassirostris,,
Tyrannus dominicensis,,
Tyrannus forficatus,,
Tyrannus melancholicus,,
Tyrannus melancholicus/couchii,Tyrannus melancholicus,
Tyrannus savana,,
Tyrannus sp. (yellow-bellied),Tyrannus couchii,1
Tyrannus tyrannus,,
Tyrannus verticalis,,
Tyrannus vociferans,,
Tyto alba,,
Tyto alba [furcata Group],Tyto alba,
Uraeginthus cyanocephalus,,
Uria aalge,,
Uria aalge/lomvia,Uria aalge,
Uria lomvia,,
Uria/Alca sp.,Uria aalge,1
Vanellus vanellus,,
Vermivora chrysoptera,,
Vermivora cyanoptera,,
Vidua macroura,,
Vireo bellii,,
Vireo cassinii,,
Vireo cassinii/solitarius,Vireo cassinii,
Vireo crassirostris,,
Vireo flavifrons,,
Vireo gilvus,,
Vireo griseus,,
Vireo griseus [griseus Group],Vireo griseus,
Vireo huttoni,,
Vireo huttoni [huttoni Group],Vireo huttoni,
Vireo huttoni [stephensi Group],Vireo huttoni [stephensi Group],
Vireo olivaceus,,
Vireo philadelphicus,,
Vireo plumbeus,,
Vireo plumbeus/cassinii,Vireo plumbeus,
Vireo plumbeus/cassinii/solitarius,Vireo plumbeus,
Vireo solitarius,,
Vireo sp.,Vireo solitarius,1
Vireo vicinior,,
Xanthocephalus xanthocephalus,,
Xema sabini,,
Zenaida asiatica,,
Zenaida macroura,,
Zonotrichia albicollis,,
Zonotrichia atricapilla,,
Zonotrichia atricapilla x albicollis,Zonotrichia atricapilla,
Zonotrichia leucophrys,,
Zonotrichia leucophrys gambelii,,
Zonotrichia leucophrys leucophrys/oriantha,Zonotrichia leucophrys,
Zonotrichia leucophrys nuttalli/pugetensis,Zonotrichia leucophrys,
Zonotrichia leucophrys oriantha,,
Zonotrichia leucophrys pugetensis,,
Zonotrichia leucophrys x albicollis,Zonotrichia leucophrys,
Zonotrichia leucophrys x atricapilla,Zonotrichia leucophrys,
Zonotrichia querula,,
Zonotrichia sp.,Zonotrichia albicollis,1
Zosterops japonicus,,
Zosterops palpebrosus,,
