genus,order 
Recurvirostra,Charadriiformes
Chamaea,Passeriformes
Empidonax,Passeriformes
Haematopus,Charadriiformes
Himantopus,Charadriiformes
Hydroprogne,Charadriiformes
Passerina,Passeriformes
Phainopepla,Passeriformes
Pyrocephalus,Passeriformes
Aimophila,Passeriformes
Elanus,Accipitriformes
Morus,Suliformes
Botaurus,Pelecaniformes
Numenius,Charadriiformes
Pinicola,Passeriformes
Plegadis,Pelecaniformes
Selasphorus,Apodiformes
Tyrannus,Passeriformes
Anhinga,Suliformes
Archilochus,Apodiformes
Catherpes,Passeriformes
Eudocimus,Pelecaniformes
Mniotilta,Passeriformes
Bubulcus,Pelecaniformes
Chondestes,Passeriformes
Ixoreus,Passeriformes
Thalasseus,Charadriiformes
Cinclus,Passeriformes
Coccothraustes,Passeriformes
Geococcyx,Cuculiformes
Leucophaeus,Charadriiformes
Salpinctes,Passeriformes
Aegolius,Strigiformes
Arenaria,Charadriiformes
Butorides,Pelecaniformes
Clangula,Anseriformes
Gallinula,Gruiformes
Melozone,Passeriformes
Pluvialis,Charadriiformes
Scolopax,Charadriiformes
Tachycineta,Passeriformes
Calypte,Apodiformes
Colinus,Galliformes
Porzana,Gruiformes
Pooecetes,Passeriformes
Psaltriparus,Passeriformes
Columbina,Columbiformes
Grus,Gruiformes
Myadestes,Passeriformes
Sterna,Charadriiformes
Bonasa,Galliformes
Loxia,Passeriformes
Pandion,Accipitriformes
Tyto,Strigiformes
Actitis,Charadriiformes
Calcarius,Passeriformes
Aechmophorus,Podicipediformes
Aphelocoma,Passeriformes
Callipepla,Galliformes
Limnodromus,Charadriiformes
Anser,Anseriformes
Acanthis,Passeriformes
Nycticorax,Pelecaniformes
Pica,Passeriformes
Thryomanes,Passeriformes
Aquila,Accipitriformes
Asio,Strigiformes
Polioptila,Passeriformes
Ammodramus,Passeriformes
Geothlypis,Passeriformes
Icterus,Passeriformes
Plectrophenax,Passeriformes
Dumetella,Passeriformes
Chroicocephalus,Charadriiformes
Pelecanus,Pelecaniformes
Oreothlypis,Passeriformes
Rallus,Gruiformes
Phasianus,Galliformes
Coragyps,Accipitriformes
Anthus,Passeriformes
Melanitta,Anseriformes
Vireo,Passeriformes
Egretta,Pelecaniformes
Cistothorus,Passeriformes
Toxostoma,Passeriformes
Aix,Anseriformes
Gallinago,Charadriiformes
Cathartes,Accipitriformes
Chen,Anseriformes
Streptopelia,Columbiformes
Cygnus,Anseriformes
Oxyura,Anseriformes
Tringa,Charadriiformes
Passerella,Passeriformes
Strix,Strigiformes
Gavia,Gaviiformes
Euphagus,Passeriformes
Passerculus,Passeriformes
Podiceps,Podicipediformes
Eremophila,Passeriformes
Megascops,Strigiformes
Molothrus,Passeriformes
Spizelloides,Passeriformes
Catharus,Passeriformes
Podilymbus,Podicipediformes
Fulica,Gruiformes
Sayornis,Passeriformes
Thryothorus,Passeriformes
Lanius,Passeriformes
Mimus,Passeriformes
Phalacrocorax,Suliformes
Lophodytes,Anseriformes
Dryocopus,Piciformes
Pipilo,Passeriformes
Meleagris,Galliformes
Sphyrapicus,Piciformes
Quiscalus,Passeriformes
Sturnella,Passeriformes
Charadrius,Charadriiformes
Calidris,Charadriiformes
Circus,Accipitriformes
Baeolophus,Passeriformes
Certhia,Passeriformes
Troglodytes,Passeriformes
Agelaius,Passeriformes
Spizella,Passeriformes
Bubo,Strigiformes
Cardinalis,Passeriformes
Mergus,Anseriformes
Sialia,Passeriformes
Bombycilla,Passeriformes
Haliaeetus,Accipitriformes
Megaceryle,Coraciiformes
Turdus,Passeriformes
Columba,Columbiformes
Cyanocitta,Passeriformes
Passer,Passeriformes
Sturnus,Passeriformes
Colaptes,Piciformes
Zenaida,Columbiformes
Ardea,Pelecaniformes
Branta,Anseriformes
Melanerpes,Piciformes
Poecile,Passeriformes
Bucephala,Anseriformes
Regulus,Passeriformes
Junco,Passeriformes
Setophaga,Passeriformes
Haemorhous,Passeriformes
Zonotrichia,Passeriformes
Melospiza,Passeriformes
Sitta,Passeriformes
Spinus,Passeriformes
Corvus,Passeriformes
Falco,Falconiformes
Accipiter,Accipitriformes
Aythya,Anseriformes
Picoides,Piciformes
Larus,Charadriiformes
Buteo,Accipitriformes
Anas,Anseriformes
